Training mislabeled(final epoch): 3/184
176. gestures/M/M_stop_3.pgm => 0
177. gestures/M/M_stop_4.pgm => 0
178. gestures/M/M_stop_5.pgm => 0
179. gestures/M/M_stop_8.pgm => 1
180. gestures/M/M_stop_9.pgm => 0
181. gestures/M/M_up_1.pgm => 1
182. gestures/M/M_up_2.pgm => 0
183. gestures/M/M_up_3.pgm => 0
184. gestures/M/M_up_6.pgm => 0
==============================================

Test mislabeled: 9/83
Test Accuracy: 89.1566265060241%
Test Error: 0.09873986943015811
Test Prediction: entries marked with * are mis-labeled
1. gestures/A/A_down_1.pgm => 1
2. gestures/A/A_down_2.pgm => 1
3. gestures/A/A_hold_1.pgm => 0
4. gestures/A/A_hold_10.pgm => 0
5. gestures/A/A_stop_1.pgm => 0
6. gestures/A/A_stop_4.pgm => 0
7. gestures/A/A_up_1.pgm => 0
8. gestures/A/A_up_10.pgm => 0
9. gestures/B/B_down_1.pgm => 0 * 
10. gestures/B/B_down_2.pgm => 0 * 
11. gestures/B/B_hold_1.pgm => 0
12. gestures/B/B_hold_2.pgm => 0
13. gestures/B/B_stop_1.pgm => 0
14. gestures/B/B_stop_2.pgm => 1 * 
15. gestures/B/B_up_1.pgm => 0
16. gestures/B/B_up_4.pgm => 0
17. gestures/C/C_down_1.pgm => 0 * 
18. gestures/C/C_down_2.pgm => 1
19. gestures/C/C_hold_1.pgm => 0
20. gestures/C/C_hold_2.pgm => 0
21. gestures/C/C_stop_2.pgm => 0
22. gestures/C/C_stop_3.pgm => 0
23. gestures/C/C_up_1.pgm => 0
24. gestures/D/D_down_1.pgm => 1
25. gestures/D/D_down_2.pgm => 1
26. gestures/D/D_hold_1.pgm => 0
27. gestures/D/D_hold_2.pgm => 0
28. gestures/D/D_hold_6.pgm => 0
29. gestures/D/D_stop_1.pgm => 0
30. gestures/D/D_stop_2.pgm => 0
31. gestures/D/D_up_1.pgm => 1 * 
32. gestures/D/D_up_3.pgm => 0
33. gestures/E/E_down_1.pgm => 1
34. gestures/E/E_hold_1.pgm => 1 * 
35. gestures/E/E_hold_5.pgm => 0
36. gestures/E/E_stop_1.pgm => 0
37. gestures/E/E_stop_2.pgm => 0
38. gestures/E/E_up_1.pgm => 0
39. gestures/E/E_up_2.pgm => 0
40. gestures/F/F_down_1.pgm => 0 * 
41. gestures/F/F_down_4.pgm => 1
42. gestures/F/F_hold_1.pgm => 0
43. gestures/F/F_hold_2.pgm => 0
44. gestures/F/F_stop_2.pgm => 0
45. gestures/F/F_stop_5.pgm => 0
46. gestures/G/G_down_2.pgm => 1
47. gestures/G/G_down_3.pgm => 1
48. gestures/G/G_hold_4.pgm => 0
49. gestures/G/G_stop_2.pgm => 0
50. gestures/G/G_stop_5.pgm => 0
51. gestures/G/G_up_2.pgm => 0
52. gestures/G/G_up_5.pgm => 0
53. gestures/H/H_down_2.pgm => 1
54. gestures/H/H_hold_10.pgm => 1 * 
55. gestures/H/H_hold_2.pgm => 0
56. gestures/H/H_hold_5.pgm => 0
57. gestures/H/H_stop_5.pgm => 1 * 
58. gestures/H/H_stop_6.pgm => 0
59. gestures/H/H_up_5.pgm => 0
60. gestures/I/I_hold_2.pgm => 0
61. gestures/I/I_hold_5.pgm => 0
62. gestures/I/I_down_3.pgm => 1
63. gestures/I/I_stop_5.pgm => 0
64. gestures/I/I_stop_6.pgm => 0
65. gestures/I/I_up_2.pgm => 0
66. gestures/I/I_up_3.pgm => 0
67. gestures/J/J_down_5.pgm => 1
68. gestures/J/J_down_6.pgm => 1
69. gestures/J/J_hold_2.pgm => 0
70. gestures/J/J_hold_3.pgm => 0
71. gestures/J/J_stop_7.pgm => 0
72. gestures/J/J_stop_8.pgm => 0
73. gestures/J/J_up_1.pgm => 0
74. gestures/J/J_up_2.pgm => 0
75. gestures/K/K_down_2.pgm => 1
76. gestures/K/K_down_3.pgm => 1
77. gestures/K/K_hold_1.pgm => 0
78. gestures/K/K_hold_2.pgm => 0
79. gestures/K/K_hold_3.pgm => 0
80. gestures/K/K_stop_1.pgm => 0
81. gestures/K/K_stop_2.pgm => 0
82. gestures/K/K_stop_1.pgm => 0
83. gestures/K/K_stop_2.pgm => 0
==============================================

